mes,regiao,modalidade,canal,unidade,matriculas,meta_matriculas,receita,custo_operacional,taxa_evasao,taxa_conclusao,satisfacao_media
Fev,Sul,Pós-Graduação,Híbrido,Unidade Centro,56,60,66588.16,43761.03,0.0539,0.8883,8.73
Fev,Sul,Cursos Livres,Online,Unidade Sul,49,54,21516.11,12633.39,0.099,0.8233,8.51
Fev,Sul,Cursos Livres,Presencial,Unidade Norte,57,60,22777.46,14931.73,0.0493,0.8984,9.25
Fev,Sul,Cursos Livres,Híbrido,Unidade Norte,57,63,24674.75,17084.1,0.0677,0.8591,7.88
Fev,Nordeste,Graduação,Online,Unidade Sul,49,54,39631.24,25458.22,0.1147,0.8102,8.96
Fev,Nordeste,Graduação,Presencial,Unidade Centro,60,67,52872.71,30099.11,0.0909,0.8191,8.77
Fev,Nordeste,Graduação,Híbrido,Unidade Sul,54,61,47926.32,26858.11,0.0709,0.831,8.13
Fev,Nordeste,Pós-Graduação,Online,Unidade Norte,51,56,58378.45,38076.88,0.0895,0.8437,8.46
Fev,Nordeste,Pós-Graduação,Presencial,Unidade Centro,58,64,68081.71,44951.67,0.0495,0.8657,9.29
Fev,Nordeste,Pós-Graduação,Híbrido,Unidade Centro,60,66,72345.4,41175.63,0.0739,0.8477,9.04
Fev,Nordeste,Cursos Livres,Online,Unidade Centro,57,62,23558.88,15623.81,0.1145,0.7926,9.08
Fev,Nordeste,Cursos Livres,Presencial,Unidade Centro,51,55,21493.53,11993.88,0.0797,0.8508,7.97
Fev,Nordeste,Cursos Livres,Híbrido,Unidade Centro,59,67,23767.21,15324.52,0.0655,0.837,8.77
Mar,Sudeste,Graduação,Online,Unidade Centro,50,57,42935.37,24345.2,0.0843,0.8551,9.13
Mar,Sudeste,Graduação,Presencial,Unidade Centro,57,64,46306.37,26281.65,0.084,0.8439,8.4
Mar,Sudeste,Graduação,Híbrido,Unidade Norte,62,69,53323.01,35901.26,0.0481,0.8977,7.92
Mar,Sudeste,Pós-Graduação,Online,Unidade Sul,51,57,61281.56,35880.52,0.0587,0.8622,9.3
Mar,Sudeste,Pós-Graduação,Presencial,Unidade Norte,66,74,81206.76,49831.17,0.0701,0.8757,8.75
Mar,Sudeste,Pós-Graduação,Híbrido,Unidade Sul,54,59,64375.25,42814.64,0.0603,0.8694,9.06
Mar,Sudeste,Cursos Livres,Online,Unidade Norte,60,65,25820.03,17565.1,0.0867,0.8152,8.29
Mar,Sudeste,Cursos Livres,Presencial,Unidade Centro,56,60,24230.56,16687.5,0.1182,0.804,7.87
Mar,Sudeste,Cursos Livres,Híbrido,Unidade Norte,53,56,22694.99,15872.3,0.046,0.8957,8.3
Mar,Sul,Graduação,Online,Unidade Centro,59,67,52161.81,32254.18,0.0436,0.8924,9.31
Mar,Sul,Graduação,Presencial,Unidade Sul,53,58,43644.99,30383.86,0.0771,0.8552,7.93
Mar,Sul,Graduação,Híbrido,Unidade Centro,61,68,52037.16,35730.75,0.0648,0.8445,8.08
Mar,Sul,Pós-Graduação,Online,Unidade Centro,65,68,77349.78,48942.16,0.0865,0.8175,9.29
Mar,Sul,Pós-Graduação,Presencial,Unidade Norte,49,52,58073.6,35258.44,0.1048,0.7958,8.81
Mar,Sul,Pós-Graduação,Híbrido,Unidade Centro,63,66,76122.26,42727.72,0.0451,0.9031,7.82
Mar,Sul,Cursos Livres,Online,Unidade Centro,58,65,24968.78,15148.0,0.1131,0.8076,9.09
Mar,Sul,Cursos Livres,Presencial,Unidade Sul,56,60,22647.78,14556.16,0.1163,0.8034,8.94
Mar,Sul,Cursos Livres,Híbrido,Unidade Centro,51,56,21787.51,13786.83,0.0816,0.8298,9.25
Mar,Nordeste,Graduação,Online,Unidade Sul,50,54,43740.23,28252.0,0.0872,0.8388,9.13
Mar,Nordeste,Graduação,Presencial,Unidade Sul,52,57,42592.76,26221.01,0.0412,0.8913,8.47
Mar,Nordeste,Graduação,Híbrido,Unidade Centro,61,65,52096.01,34104.46,0.0761,0.8284,8.69
Mar,Nordeste,Pós-Graduação,Online,Unidade Centro,51,55,63810.72,39811.04,0.0794,0.8577,9.47
Mar,Nordeste,Pós-Graduação,Presencial,Unidade Centro,52,56,62897.02,38370.02,0.0673,0.8558,8.79
Mar,Nordeste,Pós-Graduação,Híbrido,Unidade Norte,64,68,76600.03,44071.08,0.0934,0.848,7.87
Mar,Nordeste,Cursos Livres,Online,Unidade Centro,52,55,20941.73,13099.32,0.0497,0.8773,8.42
Mar,Nordeste,Cursos Livres,Presencial,Unidade Centro,54,59,21755.32,13196.62,0.0785,0.8371,8.07
Mar,Nordeste,Cursos Livres,Híbrido,Unidade Norte,53,56,22941.6,14285.24,0.0999,0.8409,8.43
Abr,Sudeste,Graduação,Online,Unidade Sul,59,62,50306.8,32854.1,0.0976,0.8493,8.03
Abr,Sudeste,Graduação,Presencial,Unidade Centro,55,60,46900.13,27689.2,0.0486,0.879,8.21
Abr,Sudeste,Graduação,Híbrido,Unidade Centro,50,55,42771.85,25724.66,0.1073,0.8382,8.2
Abr,Sudeste,Pós-Graduação,Online,Unidade Centro,58,64,71612.63,47394.38,0.0799,0.8658,8.8
Abr,Sudeste,Pós-Graduação,Presencial,Unidade Norte,56,62,66385.35,41473.39,0.067,0.838,8.22
Abr,Sudeste,Pós-Graduação,Híbrido,Unidade Norte,57,61,66602.63,38495.32,0.0481,0.8943,8.07
Abr,Sudeste,Cursos Livres,Online,Unidade Norte,60,63,24080.25,16846.26,0.1074,0.84,8.98
Abr,Sudeste,Cursos Livres,Presencial,Unidade Centro,53,57,23305.04,15155.19,0.1092,0.7999,8.09
Abr,Sudeste,Cursos Livres,Híbrido,Unidade Centro,59,63,24866.82,16328.62,0.0781,0.83,9.45
Abr,Sul,Graduação,Online,Unidade Centro,59,62,50299.65,34696.81,0.0966,0.815,8.66
Abr,Sul,Graduação,Presencial,Unidade Norte,56,59,45466.68,27205.13,0.0669,0.8764,9.48
Abr,Sul,Graduação,Híbrido,Unidade Sul,48,52,39326.41,26315.01,0.0402,0.904,8.83
Abr,Sul,Pós-Graduação,Online,Unidade Sul,62,69,76859.81,44362.33,0.1172,0.8266,9.4
Abr,Sul,Pós-Graduação,Presencial,Unidade Sul,62,70,76048.68,50947.34,0.0438,0.8671,9.08
Abr,Sul,Pós-Graduação,Híbrido,Unidade Sul,49,53,60649.7,36927.59,0.0932,0.8306,9.29
Abr,Sul,Cursos Livres,Online,Unidade Sul,59,64,25770.38,15547.38,0.0899,0.8331,8.78
Abr,Sul,Cursos Livres,Presencial,Unidade Norte,53,56,22356.95,14401.37,0.1125,0.8063,9.4
Abr,Sul,Cursos Livres,Híbrido,Unidade Centro,49,55,21185.1,12133.79,0.0896,0.8337,9.14
Abr,Nordeste,Graduação,Online,Unidade Norte,59,66,51547.04,34185.75,0.0515,0.8883,8.64
Abr,Nordeste,Graduação,Presencial,Unidade Sul,60,65,49014.22,28060.03,0.1077,0.8359,9.16
Abr,Nordeste,Graduação,Híbrido,Unidade Sul,54,59,47147.94,30167.82,0.041,0.8791,9.02
Abr,Nordeste,Pós-Graduação,Online,Unidade Norte,63,67,74409.48,51102.78,0.0582,0.8706,8.85
Abr,Nordeste,Pós-Graduação,Presencial,Unidade Centro,48,50,56194.65,37566.84,0.0981,0.8223,9.36
Abr,Nordeste,Pós-Graduação,Híbrido,Unidade Norte,59,64,68339.98,47165.18,0.0861,0.8336,9.05
Abr,Nordeste,Cursos Livres,Online,Unidade Norte,62,66,25057.8,15030.22,0.0589,0.8828,9.22
Abr,Nordeste,Cursos Livres,Presencial,Unidade Centro,55,59,23310.85,12837.16,0.0719,0.8754,9.16
Abr,Nordeste,Cursos Livres,Híbrido,Unidade Sul,49,53,20404.05,14033.26,0.1091,0.7948,8.62
Mai,Sudeste,Graduação,Online,Unidade Centro,48,51,42484.02,25351.11,0.0599,0.8612,7.86
Mai,Sudeste,Graduação,Presencial,Unidade Norte,58,61,49952.06,28587.53,0.041,0.8758,9.43
Mai,Sudeste,Graduação,Híbrido,Unidade Sul,62,67,52884.82,32472.25,0.0548,0.8802,8.48
Mai,Sudeste,Pós-Graduação,Online,Unidade Sul,54,61,64594.14,38375.81,0.09,0.8411,8.8
Mai,Sudeste,Pós-Graduação,Presencial,Unidade Centro,55,60,66160.98,38194.02,0.0753,0.8547,8.06
Mai,Sudeste,Pós-Graduação,Híbrido,Unidade Norte,49,54,60289.09,42011.83,0.0618,0.8433,9.16
Mai,Sudeste,Cursos Livres,Online,Unidade Centro,62,66,25800.39,16493.09,0.0841,0.8532,8.66
Mai,Sudeste,Cursos Livres,Presencial,Unidade Norte,61,64,24796.43,16324.48,0.0922,0.8459,8.21
Mai,Sudeste,Cursos Livres,Híbrido,Unidade Sul,62,66,25772.27,14225.01,0.0934,0.8464,9.32
Mai,Sul,Graduação,Online,Unidade Centro,60,66,52775.45,36235.29,0.0498,0.8564,9.0
Mai,Sul,Graduação,Presencial,Unidade Norte,53,57,43966.2,26881.45,0.0704,0.8501,8.86
Mai,Sul,Graduação,Híbrido,Unidade Sul,54,60,47557.3,30192.54,0.0576,0.8437,7.99
Mai,Sul,Pós-Graduação,Online,Unidade Sul,63,67,77866.91,50225.85,0.074,0.8749,8.72
Mai,Sul,Pós-Graduação,Presencial,Unidade Norte,51,58,62087.73,40510.85,0.0737,0.8697,8.98
Mai,Sul,Pós-Graduação,Híbrido,Unidade Sul,63,69,72710.2,49040.21,0.0861,0.8502,8.91
Mai,Sul,Cursos Livres,Online,Unidade Centro,49,55,19839.16,12795.56,0.0611,0.8756,8.23
Mai,Sul,Cursos Livres,Presencial,Unidade Sul,51,56,22307.67,12825.63,0.0735,0.8573,7.88
Mai,Sul,Cursos Livres,Híbrido,Unidade Sul,51,57,20542.5,14119.42,0.1017,0.8449,8.54
Mai,Nordeste,Graduação,Online,Unidade Sul,53,60,45349.15,26404.14,0.0781,0.8387,9.05
Mai,Nordeste,Graduação,Presencial,Unidade Centro,52,57,44620.24,29700.88,0.0441,0.8811,8.37
Mai,Nordeste,Graduação,Híbrido,Unidade Norte,54,59,45218.57,25385.25,0.073,0.8418,8.58
Mai,Nordeste,Pós-Graduação,Online,Unidade Centro,61,66,74625.18,51312.05,0.0618,0.8587,7.96
Mai,Nordeste,Pós-Graduação,Presencial,Unidade Centro,61,69,74594.9,48176.55,0.0817,0.864,9.09
Mai,Nordeste,Pós-Graduação,Híbrido,Unidade Centro,59,64,72161.32,50379.44,0.1079,0.8296,8.18
Mai,Nordeste,Cursos Livres,Online,Unidade Sul,59,65,23650.44,14117.62,0.0871,0.8129,8.6
Mai,Nordeste,Cursos Livres,Presencial,Unidade Sul,60,68,24689.32,16771.61,0.114,0.7874,8.61
Mai,Nordeste,Cursos Livres,Híbrido,Unidade Sul,55,59,23151.82,14404.12,0.0916,0.8259,8.75
Jun,Sudeste,Graduação,Online,Unidade Centro,58,62,48510.58,32434.58,0.098,0.8487,8.72
Jun,Sudeste,Graduação,Presencial,Unidade Sul,58,63,49399.43,34508.03,0.0741,0.8321,8.59
Jun,Sudeste,Graduação,Híbrido,Unidade Centro,61,70,52000.04,34584.1,0.1151,0.795,8.4
Jun,Sudeste,Pós-Graduação,Online,Unidade Centro,47,51,56285.97,33797.22,0.0865,0.8499,7.96
Jun,Sudeste,Pós-Graduação,Presencial,Unidade Centro,58,65,66143.29,42223.65,0.0774,0.8577,9.02
Jun,Sudeste,Pós-Graduação,Híbrido,Unidade Centro,61,64,69870.14,46791.92,0.0488,0.8816,9.43
Jun,Sudeste,Cursos Livres,Online,Unidade Sul,48,52,19993.84,11497.56,0.1103,0.7925,8.84
Jun,Sudeste,Cursos Livres,Presencial,Unidade Centro,53,56,23012.0,13982.4,0.0584,0.8501,7.88
Jun,Sudeste,Cursos Livres,Híbrido,Unidade Norte,49,56,21155.38,14579.5,0.068,0.8791,9.3
Jun,Sul,Graduação,Online,Unidade Centro,55,63,45629.09,28267.55,0.0812,0.8442,9.33
Jun,Sul,Graduação,Presencial,Unidade Centro,50,52,42657.14,25160.89,0.0874,0.8336,9.29
Jun,Sul,Graduação,Híbrido,Unidade Sul,61,68,54212.55,30524.27,0.109,0.8005,8.74
Jun,Sul,Pós-Graduação,Online,Unidade Centro,46,52,56280.34,38505.43,0.0439,0.8795,7.99
Jun,Sul,Pós-Graduação,Presencial,Unidade Sul,60,67,71965.05,46899.8,0.0784,0.842,8.39
Jun,Sul,Pós-Graduação,Híbrido,Unidade Centro,61,65,74912.22,43004.11,0.0817,0.8249,8.07
Jun,Sul,Cursos Livres,Online,Unidade Norte,60,67,25697.63,17529.14,0.0944,0.8247,8.07
Jun,Sul,Cursos Livres,Presencial,Unidade Norte,54,57,23539.73,12950.81,0.0404,0.8686,9.34
Jun,Sul,Cursos Livres,Híbrido,Unidade Sul,60,66,25218.82,16260.39,0.0405,0.8951,9.47
Jun,Nordeste,Graduação,Online,Unidade Norte,52,56,42030.1,25841.62,0.1055,0.8381,7.83
Jun,Nordeste,Graduação,Presencial,Unidade Sul,52,59,44786.19,25088.13,0.1146,0.8303,8.97
Jun,Nordeste,Graduação,Híbrido,Unidade Norte,49,51,42778.65,28998.03,0.0967,0.8296,7.93
Jun,Nordeste,Pós-Graduação,Online,Unidade Norte,62,69,77888.45,43097.12,0.1,0.8435,7.84
Jun,Nordeste,Pós-Graduação,Presencial,Unidade Sul,52,55,64389.22,44534.52,0.0602,0.8897,8.6
Jun,Nordeste,Pós-Graduação,Híbrido,Unidade Norte,54,57,62620.28,40833.11,0.1036,0.8117,7.94
Jun,Nordeste,Cursos Livres,Online,Unidade Norte,48,53,20902.0,14184.18,0.1171,0.8313,9.35
Jun,Nordeste,Cursos Livres,Presencial,Unidade Centro,59,66,24637.02,14290.8,0.065,0.869,9.07
Jun,Nordeste,Cursos Livres,Híbrido,Unidade Centro,57,65,23625.25,16072.1,0.1091,0.8172,8.12
Jul,Sudeste,Graduação,Online,Unidade Norte,44,49,37226.81,25566.46,0.0824,0.8667,8.3
Jul,Sudeste,Graduação,Presencial,Unidade Norte,51,54,44635.49,27430.56,0.0785,0.8656,8.97
Jul,Sudeste,Graduação,Híbrido,Unidade Centro,45,49,36952.66,25780.12,0.0921,0.8416,8.54
Jul,Sudeste,Pós-Graduação,Online,Unidade Centro,42,46,48245.13,31564.25,0.0714,0.8546,8.3
Jul,Sudeste,Pós-Graduação,Presencial,Unidade Sul,56,59,69940.54,44456.7,0.0979,0.8146,7.97
Jul,Sudeste,Pós-Graduação,Híbrido,Unidade Centro,49,51,59494.76,37342.29,0.0962,0.8258,8.35
Jul,Sudeste,Cursos Livres,Online,Unidade Norte,55,59,22135.59,12841.49,0.106,0.8261,9.46
Jul,Sudeste,Cursos Livres,Presencial,Unidade Norte,54,60,21999.94,12204.2,0.0534,0.8914,9.0
Jul,Sudeste,Cursos Livres,Híbrido,Unidade Sul,51,58,21661.93,14459.63,0.0639,0.8393,8.86
Jul,Sul,Graduação,Online,Unidade Centro,54,61,43972.73,28429.98,0.1116,0.811,8.57
Jul,Sul,Graduação,Presencial,Unidade Sul,44,49,37170.39,23876.82,0.098,0.8223,8.61
Jul,Sul,Graduação,Híbrido,Unidade Norte,57,63,47659.76,30183.14,0.0546,0.8559,8.65
Jul,Sul,Pós-Graduação,Online,Unidade Norte,52,55,61353.64,35774.34,0.0834,0.8419,8.49
Jul,Sul,Pós-Graduação,Presencial,Unidade Norte,42,47,49178.72,30187.08,0.077,0.8296,9.06
Jul,Sul,Pós-Graduação,Híbrido,Unidade Norte,57,62,65254.35,40653.48,0.1094,0.8117,9.03
Jul,Sul,Cursos Livres,Online,Unidade Norte,51,54,22047.51,13395.56,0.0924,0.808,8.41
Jul,Sul,Cursos Livres,Presencial,Unidade Norte,51,58,21919.33,12836.65,0.0505,0.8637,8.11
Jul,Sul,Cursos Livres,Híbrido,Unidade Sul,50,52,20817.37,13301.0,0.0455,0.8826,8.49
Jul,Nordeste,Graduação,Online,Unidade Sul,47,53,40321.34,26148.81,0.0531,0.8773,8.24
Jul,Nordeste,Graduação,Presencial,Unidade Norte,51,54,43777.93,26980.5,0.0717,0.8664,9.3
Jul,Nordeste,Graduação,Híbrido,Unidade Norte,49,54,42355.51,24899.92,0.0517,0.8758,9.41
Jul,Nordeste,Pós-Graduação,Online,Unidade Sul,45,49,51498.03,34547.48,0.0989,0.8179,9.24
Jul,Nordeste,Pós-Graduação,Presencial,Unidade Centro,55,58,64058.55,44231.84,0.049,0.8875,8.7
Jul,Nordeste,Pós-Graduação,Híbrido,Unidade Centro,52,55,60682.14,39639.47,0.0544,0.8912,8.79
Jul,Nordeste,Cursos Livres,Online,Unidade Sul,49,56,20962.72,12328.88,0.0414,0.8924,8.79
Jul,Nordeste,Cursos Livres,Presencial,Unidade Sul,49,52,20923.41,12141.39,0.0512,0.8973,9.0
Jul,Nordeste,Cursos Livres,Híbrido,Unidade Centro,44,47,17904.07,10532.89,0.0985,0.8437,9.44
Ago,Sudeste,Graduação,Online,Unidade Sul,64,71,56818.7,36113.48,0.0947,0.8304,9.28
Ago,Sudeste,Graduação,Presencial,Unidade Norte,66,73,57163.25,37023.78,0.0941,0.8451,8.47
Ago,Sudeste,Graduação,Híbrido,Unidade Centro,56,63,45978.21,30477.31,0.0884,0.8457,9.49
Ago,Sudeste,Pós-Graduação,Online,Unidade Norte,60,64,73716.83,49477.03,0.1103,0.8195,8.93
Ago,Sudeste,Pós-Graduação,Presencial,Unidade Centro,65,70,76574.13,45887.6,0.1095,0.8217,8.9
Ago,Sudeste,Pós-Graduação,Híbrido,Unidade Norte,56,61,66502.28,40299.57,0.0956,0.835,8.2
Ago,Sudeste,Cursos Livres,Online,Unidade Norte,51,55,21641.59,14705.46,0.0935,0.8255,8.45
Ago,Sudeste,Cursos Livres,Presencial,Unidade Sul,58,63,23204.46,14619.75,0.0673,0.8637,8.79
Ago,Sudeste,Cursos Livres,Híbrido,Unidade Sul,57,62,24058.3,14786.94,0.0998,0.8144,9.2
Ago,Sul,Graduação,Online,Unidade Norte,51,54,45320.95,26249.16,0.0924,0.8386,8.61
Ago,Sul,Graduação,Presencial,Unidade Norte,58,65,48100.91,28701.63,0.0628,0.8718,8.72
Ago,Sul,Graduação,Híbrido,Unidade Centro,62,66,51501.73,29727.61,0.0731,0.8708,8.96
Ago,Sul,Pós-Graduação,Online,Unidade Norte,53,60,62297.97,35077.24,0.1035,0.8372,8.52
Ago,Sul,Pós-Graduação,Presencial,Unidade Centro,59,65,67567.36,46123.57,0.0907,0.8117,9.19
Ago,Sul,Pós-Graduação,Híbrido,Unidade Sul,64,72,77925.93,49365.73,0.054,0.878,9.11
Ago,Sul,Cursos Livres,Online,Unidade Centro,63,70,25864.14,16645.61,0.1058,0.823,7.96
Ago,Sul,Cursos Livres,Presencial,Unidade Centro,57,62,23109.24,13328.64,0.0588,0.8477,8.71
Ago,Sul,Cursos Livres,Híbrido,Unidade Norte,61,66,25894.37,16171.42,0.0837,0.8547,8.81
Ago,Nordeste,Graduação,Online,Unidade Norte,54,59,46345.45,25599.98,0.0941,0.8338,9.03
Ago,Nordeste,Graduação,Presencial,Unidade Sul,51,53,44322.51,30322.3,0.0863,0.85,7.95
Ago,Nordeste,Graduação,Híbrido,Unidade Sul,57,62,47805.4,31094.56,0.0675,0.8516,9.21
Ago,Nordeste,Pós-Graduação,Online,Unidade Norte,61,65,71524.8,41380.58,0.0874,0.8286,8.58
Ago,Nordeste,Pós-Graduação,Presencial,Unidade Centro,67,73,81701.19,51826.7,0.0846,0.8289,7.9
Ago,Nordeste,Pós-Graduação,Híbrido,Unidade Centro,53,56,64808.43,42995.5,0.0561,0.8671,8.57
Ago,Nordeste,Cursos Livres,Online,Unidade Centro,55,58,24211.66,13389.14,0.078,0.8529,9.46
Ago,Nordeste,Cursos Livres,Presencial,Unidade Norte,64,72,26936.34,18152.67,0.0899,0.8556,8.02
Ago,Nordeste,Cursos Livres,Híbrido,Unidade Centro,52,56,20885.83,12572.19,0.0494,0.8892,8.45
Set,Sudeste,Graduação,Online,Unidade Sul,62,68,51675.11,35547.76,0.0718,0.8558,8.68
Set,Sudeste,Graduação,Presencial,Unidade Norte,62,67,53050.85,34174.96,0.0713,0.8536,8.72
Set,Sudeste,Graduação,Híbrido,Unidade Norte,68,73,59927.37,36582.48,0.1045,0.806,7.94
Set,Sudeste,Pós-Graduação,Online,Unidade Centro,54,61,63009.02,39185.51,0.1166,0.8047,8.78
Set,Sudeste,Pós-Graduação,Presencial,Unidade Centro,68,72,81494.43,49695.26,0.0885,0.8233,8.65
Set,Sudeste,Pós-Graduação,Híbrido,Unidade Centro,64,68,73895.13,49251.74,0.0783,0.8464,7.94
Set,Sudeste,Cursos Livres,Online,Unidade Sul,69,72,30069.95,19256.28,0.0622,0.8452,7.83
Set,Sudeste,Cursos Livres,Presencial,Unidade Sul,54,57,21685.14,12114.77,0.1025,0.8245,9.49
Set,Sudeste,Cursos Livres,Híbrido,Unidade Centro,69,74,28224.14,18453.63,0.0514,0.8925,7.97
Set,Sul,Graduação,Online,Unidade Sul,61,65,54425.37,34236.62,0.1051,0.8141,8.86
Set,Sul,Graduação,Presencial,Unidade Sul,65,70,56863.82,35383.24,0.0724,0.8449,8.69
Set,Sul,Graduação,Híbrido,Unidade Norte,65,71,56737.91,33417.04,0.0409,0.8883,7.83
Set,Sul,Pós-Graduação,Online,Unidade Centro,64,72,74416.86,43149.01,0.0895,0.8443,8.87
Set,Sul,Pós-Graduação,Presencial,Unidade Norte,69,75,82699.43,46701.39,0.0488,0.8738,9.24
Set,Sul,Pós-Graduação,Híbrido,Unidade Norte,54,61,67163.0,45599.3,0.0595,0.8579,8.84
Set,Sul,Cursos Livres,Online,Unidade Centro,66,71,28806.86,17734.67,0.1164,0.7943,8.97
Set,Sul,Cursos Livres,Presencial,Unidade Norte,57,64,24970.18,15180.68,0.0602,0.8507,8.64
Set,Sul,Cursos Livres,Híbrido,Unidade Centro,63,67,26761.47,16774.98,0.0453,0.8788,9.05
Set,Nordeste,Graduação,Online,Unidade Centro,52,58,42158.06,23411.87,0.0997,0.8173,7.98
Set,Nordeste,Graduação,Presencial,Unidade Norte,59,67,49959.16,30136.67,0.1193,0.7822,9.13
Set,Nordeste,Graduação,Híbrido,Unidade Sul,53,55,45772.16,31819.84,0.1011,0.8356,7.94
Set,Nordeste,Pós-Graduação,Online,Unidade Centro,66,69,77044.51,45387.46,0.1181,0.7985,8.23
Set,Nordeste,Pós-Graduação,Presencial,Unidade Norte,63,71,75829.08,52852.53,0.0434,0.8582,8.3
Set,Nordeste,Pós-Graduação,Híbrido,Unidade Norte,60,63,75026.14,42511.4,0.0817,0.8375,7.87
Set,Nordeste,Cursos Livres,Online,Unidade Centro,56,62,23219.34,13608.95,0.0746,0.8534,9.4
Set,Nordeste,Cursos Livres,Presencial,Unidade Centro,64,71,26869.38,18321.97,0.041,0.8594,8.34
Set,Nordeste,Cursos Livres,Híbrido,Unidade Sul,61,68,25968.61,14986.2,0.0577,0.8434,8.75
